english_name,scientific_name
Hartlaub's Bustard,Lissotis hartlaubii
Black-bellied Bustard,Lissotis melanogaster
Bengal Florican,Houbaropsis bengalensis
Lesser Florican,Sypheotides indicus
Little Bustard,Tetrax tetrax
Guira Cuckoo,Guira guira
Greater Ani,Crotophaga major
Smooth-billed Ani,Crotophaga ani
Groove-billed Ani,Crotophaga sulcirostris
Striped Cuckoo,Tapera naevia
Pheasant Cuckoo,Dromococcyx phasianellus
Pavonine Cuckoo,Dromococcyx pavoninus
Lesser Ground Cuckoo,Morococcyx erythropygus
Greater Roadrunner,Geococcyx californianus
Lesser Roadrunner,Geococcyx velox
Rufous-vented Ground Cuckoo,Neomorphus geoffroyi
Scaled Ground Cuckoo,Neomorphus squamiger
Banded Ground Cuckoo,Neomorphus radiolosus
Rufous-winged Ground Cuckoo,Neomorphus rufipennis
Red-billed Ground Cuckoo,Neomorphus pucheranii
Sumatran Ground Cuckoo,Carpococcyx viridis
Bornean Ground Cuckoo,Carpococcyx radiceus
Coral-billed Ground Cuckoo,Carpococcyx renauldi
Crested Coua,Coua cristata
Verreaux's Coua,Coua verreauxi
Blue Coua,Coua caerulea
Red-capped Coua,Coua ruficeps
Olive-capped Coua,Coua olivaceiceps
Red-fronted Coua,Coua reynaudii
Coquerel's Coua,Coua coquereli
Running Coua,Coua cursor
Giant Coua,Coua gigas
Red-breasted Coua,Coua serriana
Buff-headed Coucal,Centropus milo
White-necked Coucal,Centropus ateralbus
Biak Coucal,Centropus chalybeus
Ivory-billed Coucal,Centropus menbeki
Rufous Coucal,Centropus unirufus
Green-billed Coucal,Centropus chlororhynchos
Black-faced Coucal,Centropus melanops
Short-toed Coucal,Centropus rectunguis
Black-hooded Coucal,Centropus steerii
Bay Coucal,Centropus celebensis
Gabon Coucal,Centropus anselli
Black-throated Coucal,Centropus leucogaster
Senegal Coucal,Centropus senegalensis
Blue-headed Coucal,Centropus monachus
Coppery-tailed Coucal,Centropus cupreicaudus
White-browed Coucal,Centropus superciliosus
Burchell's Coucal,Centropus burchellii
Sunda Coucal,Centropus nigrorufus
Andaman Coucal,Centropus andamanensis
Greater Coucal,Centropus sinensis
Goliath Coucal,Centropus goliath
Malagasy Coucal,Centropus toulou
Black Coucal,Centropus grillii
Philippine Coucal,Centropus viridis
Lesser Coucal,Centropus bengalensis
Violaceous Coucal,Centropus violaceus
Black-billed Coucal,Centropus bernsteini
Pheasant Coucal,Centropus phasianinus
Raffles's Malkoha,Rhinortha chlorophaea
Green Malkoha,Ceuthmochares australis
Blue Malkoha,Ceuthmochares aereus
Sirkeer Malkoha,Taccocua leschenaultii
